product_name,price,seller,location,number_sold,rating,link
         SEMARANG - BliGold Antam Logam Mulia [1 g] CertiCard 2023       , Rp1.095.000 , bligold official store , Kota Semarang , Terjual 56 ,"5,0",https://www.blibli.com/p/semarang-bligold-antam-logam-mulia-1-g-certicard-2023/ps--BLD-60049-00152?ds=BLD-60049-00152-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1p+xgq8f3q4sncH4sGf4w8ntKEmjPESVK1oBJ2Cc2YMYVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02z0h0jfgemkXAp7s3l3/DtZHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00152
         SURABAYA - BliGold Antam Logam Mulia [1 g] CertiCard 2023       , Rp1.095.000 , bligold official store , Kab. Sidoarjo , Terjual 65 ,"5,0",https://www.blibli.com/p/surabaya-bligold-antam-logam-mulia-1-g-certicard-2023/ps--BLD-60049-00136?ds=BLD-60049-00136-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1u4IuJbJOzg4UL5DOaFtlFLtKEmjPESVK1oBJ2Cc2YMYVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02z0h0jfgemkXAp7s3l3/DtZHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00136
         Emas Antam 1 Gram Logam Mulia LM Antam 1 gr 1g Certicard Terbaru       , Rp1.133.000 , goldenmulia official store , Kab. Sleman ,,"5,0",https://www.blibli.com/p/emas-antam-1-gram-logam-mulia-lm-antam-1-gr-1g-certicard-terbaru/ps--GOE-70036-00002?ds=GOE-70036-00002-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1uxy0R6u3E0q00PoslzqIZEIkB8cZAOv0SHdmW8VcH5EV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYN/iN52KGPbPvqveqJOhVYnS9XiRvcc8Gfruwfk0kNK16P347vRkAcz+SqB8TCj7V5eHGXM+fcEGw5PPlJM04a2AgApPGc82CaIZbBaIz2Lr1565h1Necb85xG3w70janX2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3225670&pid=GOE-70036-00002
         Antam Indonesia Emas Kita Thank You Series 1 gram       , Rp1.062.000 , stargoldmkb official store , Kota Jakarta Timur , Terjual 24 ,"4,7",https://www.blibli.com/p/antam-indonesia-emas-kita-thank-you-series-1-gram/ps--STB-60034-00129?ds=STB-60034-00129-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1iYI2BDHujiFy09q4/uHexXiDlOxeNdVTFAr4IXdnIK6Vfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02z0h0jfgemkXAp7s3l3/DtZHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3114321&pid=STB-60034-00129
         LOGAM MULIA MICRO GOLD ANTAM HARTADINATA 0.1 GRAM BIRTHDAY GOLD SERIES       , Rp142.900 , stargoldmkb official store , Kota Jakarta Timur , Terjual 32 ,"5,0",https://www.blibli.com/p/logam-mulia-micro-gold-antam-hartadinata-0-1-gram-birthday-gold-series/ps--STB-60034-00083?ds=STB-60034-00083-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1kVxGl3IiYouzHiF7wGFgo58lkgumrplcFWSe+j/zUjHV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYN/iN52KGPbPvqveqJOhVYnS9XiRvcc8Gfruwfk0kNK16mxZHWduh5dHo+y+iw1zTbp64CwJcbzJ8176Gyn0zDbtFwTzPCG+vYUcm9MtEy0fw==&cnc=false&pickupPointCode=PP-3114321&pid=STB-60034-00083
         LM Logam Mulia Emas Antam 1 gram 1 gr Kado Ulang Tahun Gift Happy Birthday       , Mulai  Rp1.167.500 ,,,,,https://www.blibli.com/p/lm-logam-mulia-emas-antam-1-gram-1-gr-kado-ulang-tahun-gift-happy-birthday/ps--ALO-70056-00026?ds=ALO-70056-00026-00003&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1uxy0R6u3E0q00PoslzqIZHfyF8cwOMV2w767+6Lgq2fV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYN/iN52KGPbPvqveqJOhVYnS9XiRvcc8Gfruwfk0kNK18t5xWowUApKY7U2LU6PPZ7xw891RFj/i1BBRpr6Fvh+&cnc=false&pickupPointCode=PP-3488875&pid=ALO-70056-00026
         Emas Antam Logam Mulia [1 g] Gold       , Rp1.126.800 , indogold , Kota Tangerang , Terjual 718 ,"4,8",https://www.blibli.com/p/emas-antam-logam-mulia-1-g-gold/ps--AND-31006-00002?ds=AND-31006-00002-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1n1z92mV16wm98SzrfqQdMwBWjpJpc4cJt8/5rmZgnJIlsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21ueL9F9e2M76YsQGLUm9TigHjCITnaWFAGh4FHnHRTkmp2KnAun/YYLvwc268FM3NhdgPplNJNAUta9VyyWoIkFrnsOb8tZQAqmbAnXyKbhHc7ZyewV37tbANuv1Dp8hD/RJXPz1CAjJxvPCtoqfnKcTd9LuqM4Rh3lWXoIhk7cZWq6h6z6qQnR7XaOlE5v9qiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3121132&pid=AND-31006-00002
"         BliGold Antam Logam Mulia [0,5 g] CertiCard - BARU       ", Rp610.000 , bligold official store , Kota Jakarta Timur , Terjual 114 ,"5,0",https://www.blibli.com/p/bligold-antam-logam-mulia-0-5-g-certicard-baru/ps--BLD-60049-00110?ds=BLD-60049-00110-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1mOYQq/BeNOJnpIoSvwckmI+93ZWy8y1RUiJX8MuMtyqVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPrvSaCm2oGW75vET8E9SMjLt1ce7SlSf7IAJw0W+CA9B+lA4RUCFkufSeBrbuOZ3ccINrBEMxD4LtsmZhevugD1u4/uVjvKFfQTkH5W3xM02wyKP/jGTAGNsd2cidGu75o=&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00110
"         BANDUNG - BliGold Antam Logam Mulia [0,5 g] CertiCard 2023       ", Rp610.000 , bligold official store , Kota Bandung , Terjual 50 ,"5,0",https://www.blibli.com/p/bandung-bligold-antam-logam-mulia-0-5-g-certicard-2023/ps--BLD-60049-00102?ds=BLD-60049-00102-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1ncGNnin2wus1tH0B/O8lycYzJ1xizOQX+gDBSQuRmpwV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYN/iN52KGPbPvqveqJOhVYnS9XiRvcc8Gfruwfk0kNK16P347vRkAcz+SqB8TCj7V5eHGXM+fcEGw5PPlJM04a2AgApPGc82CaIZbBaIz2Lr1565h1Necb85xG3w70janX2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00102
         BliGold Antam Logam Mulia [1 g] CertiCard       , Rp1.095.000 , bligold official store , Kota Jakarta Timur ,,"4,9",https://www.blibli.com/p/bligold-antam-logam-mulia-1-g-certicard/ps--BLD-60049-00002?ds=BLD-60049-00002-00001&source=SEARCH&sid=3c739786da510b76&metaData=Sa0jw+XIAzQDKlCuUgCF1uxy0R6u3E0q00PoslzqIZF6WxESyKRJ1W9Xx6JydARmV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYN/iN52KGPbPvqveqJOhVYnS9XiRvcc8Gfruwfk0kNK16P347vRkAcz+SqB8TCj7V5eHGXM+fcEGw5PPlJM04a2AgApPGc82CaIZbBaIz2Lr1565h1Necb85xG3w70janX2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3214695&pid=BLD-60049-00002
