,datetime,price,year,month,day
111,2010-06-09 08:58:00,433000,2010,6,9
112,2010-06-10 08:34:00,430000,2010,6,10
113,2010-06-11 08:56:00,427000,2010,6,11
114,2010-06-14 09:04:00,428000,2010,6,14
115,2010-06-15 08:27:00,424000,2010,6,15
116,2010-06-16 09:02:00,428000,2010,6,16
117,2010-06-17 09:11:00,427000,2010,6,17
118,2010-06-18 07:15:00,431000,2010,6,18
119,2010-06-21 07:59:00,434000,2010,6,21
120,2010-06-22 08:57:00,423000,2010,6,22
121,2010-06-23 07:43:00,427000,2010,6,23
122,2010-06-24 07:38:00,424000,2010,6,24
123,2010-06-25 08:12:00,425000,2010,6,25
124,2010-06-28 08:59:00,430000,2010,6,28
125,2010-06-29 09:14:00,424000,2010,6,29
126,2010-06-30 09:15:00,426000,2010,6,30
127,2010-07-01 08:57:00,427000,2010,7,1
128,2010-07-02 07:27:00,417000,2010,7,2
129,2010-07-02 08:26:00,417000,2010,7,2
130,2010-07-05 06:57:00,418000,2010,7,5
131,2010-07-06 08:42:00,417000,2010,7,6
132,2010-07-07 08:40:00,416000,2010,7,7
133,2010-07-08 09:27:00,418000,2010,7,8
134,2010-07-09 07:13:00,415000,2010,7,9
135,2010-07-12 07:09:00,418000,2010,7,12
136,2010-07-13 09:15:00,415000,2010,7,13
137,2010-07-14 09:09:00,418000,2010,7,14
138,2010-07-15 07:26:00,417000,2010,7,15
139,2010-07-16 08:29:00,417000,2010,7,16
140,2010-07-19 08:48:00,414000,2010,7,19
141,2010-07-20 08:48:00,412000,2010,7,20
142,2010-07-21 08:43:00,413000,2010,7,21
143,2010-07-22 07:34:00,412000,2010,7,22
144,2010-07-23 07:32:00,414000,2010,7,23
145,2010-07-26 09:21:00,413000,2010,7,26
146,2010-07-27 07:02:00,411000,2010,7,27
147,2010-07-28 08:47:00,409000,2010,7,28
148,2010-07-29 09:10:00,410000,2010,7,29
149,2010-07-30 09:05:00,410000,2010,7,30
150,2010-08-02 08:17:00,410000,2010,8,2
151,2010-08-03 09:05:00,410000,2010,8,3
152,2010-08-04 07:14:00,411000,2010,8,4
153,2010-08-05 07:19:00,412000,2010,8,5
154,2010-08-06 07:07:00,412000,2010,8,6
155,2010-08-09 09:10:00,413000,2010,8,9
156,2010-08-10 07:28:00,412000,2010,8,10
157,2010-08-11 07:03:00,413000,2010,8,11
158,2010-08-12 08:14:00,414000,2010,8,12
159,2010-08-13 08:36:00,418000,2010,8,13
160,2010-08-16 08:45:00,418000,2010,8,16
161,2010-08-18 08:17:00,420000,2010,8,18
162,2010-08-19 07:09:00,421000,2010,8,19
163,2010-08-20 09:09:00,421000,2010,8,20
164,2010-08-23 09:00:00,420000,2010,8,23
165,2010-08-24 09:10:00,418000,2010,8,24
166,2010-08-25 07:44:00,420000,2010,8,25
167,2010-08-26 07:10:00,422000,2010,8,26
168,2010-08-27 08:51:00,423000,2010,8,27
169,2010-08-30 07:50:00,422000,2010,8,30
170,2010-08-31 09:13:00,422000,2010,8,31
171,2010-09-01 07:11:00,426000,2010,9,1
172,2010-09-02 08:45:00,425000,2010,9,2
173,2010-09-03 08:23:00,426000,2010,9,3
174,2010-09-06 09:30:00,425000,2010,9,6
175,2010-09-07 07:27:00,424000,2010,9,7
176,2010-09-08 07:48:00,427000,2010,9,8
177,2010-09-14 07:12:00,426000,2010,9,14
178,2010-09-15 06:59:00,431000,2010,9,15
179,2010-09-16 07:17:00,430000,2010,9,16
180,2010-09-17 08:29:00,434000,2010,9,17
181,2010-09-20 07:55:00,433000,2010,9,20
182,2010-09-21 07:52:00,433000,2010,9,21
183,2010-09-22 08:06:00,436000,2010,9,22
184,2010-09-23 08:27:00,437000,2010,9,23
185,2010-09-24 07:50:00,436000,2010,9,24
186,2010-09-27 07:06:00,438000,2010,9,27
187,2010-09-28 09:27:00,437000,2010,9,28
188,2010-09-29 09:08:00,442000,2010,9,29
189,2010-09-30 07:30:00,442000,2010,9,30
190,2010-10-01 08:04:00,441000,2010,10,1
191,2010-10-04 09:54:00,443000,2010,10,4
192,2010-10-05 09:03:00,442000,2010,10,5
193,2010-10-06 08:58:00,452000,2010,10,6
194,2010-10-07 00:00:00,450000,2010,10,7
195,2010-10-07 13:00:00,453000,2010,10,7
196,2010-10-08 00:00:00,448000,2010,10,8
197,2010-10-11 00:00:00,452000,2010,10,11
198,2010-10-12 00:00:00,453000,2010,10,12
199,2010-10-13 00:00:00,453000,2010,10,13
200,2010-10-14 00:00:00,460000,2010,10,14
201,2010-10-15 00:00:00,460000,2010,10,15
202,2010-10-18 00:00:00,455000,2010,10,18
203,2010-10-19 00:00:00,459000,2010,10,19
