product_name,price,seller,location,number_sold,rating,link
              Emas Antam Logam Mulia 1 Gram Press Terbaru            ,1080000,                    88 acc shop                  ,                  Kab. Bekasi                ,0,0.0,https://www.bukalapak.com/p/logam-mulia/emas/4h34qfy-jual-emas-antam-logam-mulia-1-gram-press-terbaru?from=list-product&pos=10
              emas antam sertifikat 1 gram PROMO IMLEK            ,1100000,                    SHUMA                  ,                  Medan                ,1,5.0,https://www.bukalapak.com/p/fashion-wanita/perhiasan-aksesoris/7yai9i-jual-emas-antam-sertifikat-1-gram-promo-imlek?from=list-product&pos=11
              logam mulia ubs 1 gram emas murni kwalitas antam            ,1040000,                    chel mobilindo                  ,                  Jakarta Timur                ,101,4.9,https://www.bukalapak.com/p/hobi-koleksi/batu-cincin/batu-mulia-permata/261kcbg-jual-logam-mulia-ubs-1-gram-emas-murni-kwalitas-antam?from=list-product&pos=12
              EMAS ANTAM 1 GRAM ASLI ORIGINAL RESMI            ,1090000,                    SHUMA                  ,                  Medan                ,0,0.0,https://www.bukalapak.com/p/hobi-koleksi/batu-cincin/batu-mulia-permata/3wx2fwo-jual-emas-antam-1-gram-asli-original-resmi?from=list-product&pos=13
              ANTAM 1 Gram Fine Gold Antam Sertifikat ANTAM Emas Batangan Logam Mulia LM            ,1100000,                    SHUMA                  ,                  Medan                ,0,0.0,https://www.bukalapak.com/p/hobi-koleksi/batu-cincin/batu-mulia-permata/4by7dhj-jual-antam-1-gram-fine-gold-antam-sertifikat-antam-emas-batangan-logam-mulia-lm?from=list-product&pos=14
              Bisa Nego! Emas Antam 1 Gram Logam Mulia Garansi Uang Kembali Include Sertifikat            ,1091400,                    BukaEmas by Indogold                  ,                  Tangerang                ,351,4.9,https://www.bukalapak.com/p/logam-mulia/bukaemas-logam-mulia-7558/bukaemas-logam-mulia-7561/1g9w5p-jual-bisa-nego-emas-antam-1-gram-logam-mulia-garansi-uang-kembali-include-sertifikat?from=list-product&pos=15
              EMAS ANTAM 1 GR (GRAM) GOLDBAR/LOGAM MULIA/LM/EMAS BATANGAN ANTAM BERSERTIFIKAT DIJAMIN ASLI.            ,1100000,                    Wanwin Shop                  ,                  Jakarta Barat                ,889,4.9,https://www.bukalapak.com/p/fashion-wanita/perhiasan-aksesoris/7bx054-jual-emas-antam-1-gr-gram-goldbar-logam-mulia-lm-emas-batangan-antam-bersertifikat-dijamin-asli?from=list-product&pos=16
"              1 Gram Emas ANTAM | logam mulia | BERSERTIFIKAT | FINE GOLD 999,9%|            ",1128900,                    Thsoneprice Indonesia                  ,                  Jakarta Utara                ,2597,4.9,https://www.bukalapak.com/p/logam-mulia/emas/ln060-jual-1-gram-emas-antam-logam-mulia-bersertifikat-fine-gold-999-9?from=list-product&pos=17
              Logam mulia emas antam murni 1 gram murah dan bersertifikat            ,1109900,                    Adamsay Store                  ,                  Sidoarjo                ,558,4.9,https://www.bukalapak.com/p/logam-mulia/hi7thq-jual-logam-mulia-emas-antam-murni-1-gram-murah-dan-bersertifikat?from=list-product&pos=18
              LOGAM MULIA EMAS ANTAM 1 Gram MURAH DAN BERSERTIFIKAT            ,1109900,                    Adamsay Store                  ,                  Sidoarjo                ,65,5.0,https://www.bukalapak.com/p/logam-mulia/m2osk1-jual-logam-mulia-emas-antam-1-gram-murah-dan-bersertifikat?from=list-product&pos=19
              LOGAM MULIA EMAS ANTAM 1 GRAM MURAH DAN BERSERTIFIKAT            ,1109000,                    Adamsay Store                  ,                  Sidoarjo                ,41,5.0,https://www.bukalapak.com/p/logam-mulia/m2oqet-jual-logam-mulia-emas-antam-1-gram-murah-dan-bersertifikat?from=list-product&pos=20
              EMAS MINI 1 GRAM EDISI SPESIAL GIFT KADO HADIAH ANTAM FINE GOLD LOGAM MULIA LM EM 999.9            ,1051000,                    DOCTOR PLATINUM OLSHOP                  ,                  Bekasi                ,1,5.0,https://www.bukalapak.com/p/logam-mulia/4atqdmd-jual-emas-mini-1-gram-edisi-spesial-gift-kado-hadiah-antam-fine-gold-logam-mulia-lm-em-999-9?from=list-product&pos=21
              BERSERTIFIKAT Emas ANTAM 1 Gram Logam Mulia FINE GOLD 999.9 ASLI CertiEye            ,1198000,                    Toko Koin                  ,                  Kab. Cirebon                ,0,0.0,https://www.bukalapak.com/p/logam-mulia/4gffgpy-jual-bersertifikat-emas-antam-1-gram-logam-mulia-fine-gold-999-9-asli-certieye?from=list-product&pos=22
