product_name,price,seller,location,number_sold,rating,link
Lm Emas Antam 1 Gram Kemasan Baru Press,1.169.000,Kilala Shop,Jakarta Utara,,,https://www.bukalapak.com/p/fashion-wanita/perhiasan-aksesoris/25akylb-jual-lm-emas-antam-1-gram-kemasan-baru-press?from=list-product&pos=27
Emas Antam 1 Gram Gift Series - Gift Card Congratulations,1.431.000,Fuyyu Shop,Jakarta Selatan,,,https://www.bukalapak.com/p/fashion-wanita/perhiasan-aksesoris/25arhmk-jual-emas-antam-1-gram-gift-series-gift-card-congratulations?from=list-product&pos=28
Po Emas Antam 1 Gram Garansi Uang Kembali Sertifikat Certieye 2019,1.042.000,Sutria Shop,Jakarta Pusat,,,https://www.bukalapak.com/p/fashion-wanita/perhiasan-aksesoris/25auoy8-jual-po-emas-antam-1-gram-garansi-uang-kembali-sertifikat-certieye-2019?from=list-product&pos=29
Logam Mulia Emas 1 Gram Antam Kemasan Baru Blister,1.152.000,Kilala Shop,Jakarta Utara,,,https://www.bukalapak.com/p/fashion-wanita/perhiasan-aksesoris/25amzbd-jual-logam-mulia-emas-1-gram-antam-kemasan-baru-blister?from=list-product&pos=0
Logam Mulia Emas Batangan Original Antam 1 Gram Tahun 2023 CertiEye,1.185.000,MASFITRAH96,Jakarta Pusat,,,https://www.bukalapak.com/p/logam-mulia/emas/4hpjda1-jual-logam-mulia-emas-batangan-original-antam-1-gram-tahun-2023-certieye?from=list-product&pos=1
Antam Retro 1 Gram Logam Mulia Emas 1 Gr LM - Mahar Pernikahan,1.220.000,Kaylashopa,Sleman,Terjual 2,4.5,https://www.bukalapak.com/p/logam-mulia/emas/4fyfc97-jual-antam-retro-1-gram-logam-mulia-emas-1-gr-lm-mahar-pernikahan?from=list-product&pos=2
emas batangan Antam 1 gram,1.110.000,mini_gold_colection,Ponorogo,,,https://www.bukalapak.com/p/logam-mulia/gift-logam-mulia/4hjub1m-jual-emas-batangan-antam-1-gram?from=list-product&pos=3
Emas Batangan Logam Mulia Lm Antam 1 Gram CertieyeReinvented Asli,1.135.000,Kilala Shop,Jakarta Utara,,,https://www.bukalapak.com/p/hobi-koleksi/koleksi/koleksi-lainnya/25am1jt-jual-emas-batangan-logam-mulia-lm-antam-1-gram-certieyereinvented-asli?from=list-product&pos=4
Emas Antam 1 Gram Gift Series - Gift Card Happy Wedding Gold,1.608.000,Fuyyu Shop,Jakarta Selatan,,,https://www.bukalapak.com/p/fashion-wanita/perhiasan-aksesoris/25aozxe-jual-emas-antam-1-gram-gift-series-gift-card-happy-wedding-gold?from=list-product&pos=5
Logam Mulia Antam Model Baru 1 Gram Emas Murni,1.168.000,Lapak_ATP003,Kab. Bogor,,,https://www.bukalapak.com/p/logam-mulia/emas/4hpo1im-jual-logam-mulia-antam-model-baru-1-gram-emas-murni?from=list-product&pos=6
Logam Mulia Emas Antam 1 Gram,1.150.000,Toko Bima,Surabaya,Terjual 2,5,https://www.bukalapak.com/p/hobi-koleksi/koleksi/koleksi-lainnya/mzmgyn-jual-logam-mulia-emas-antam-1-gram?from=list-product&pos=7
Emas 1 Gr Antam Logam Mulia Gram G New 2019 Sertifikat Readystok,1.094.000,Fuyyu Shop,Jakarta Selatan,,,https://www.bukalapak.com/p/fashion-wanita/perhiasan-aksesoris/25apeam-jual-emas-1-gr-antam-logam-mulia-gram-g-new-2019-sertifikat-readystok?from=list-product&pos=8
Emas Antam 1 Gram Certicard,1.105.500,Pradiana Shoppe,Kab. Bogor,,,https://www.bukalapak.com/p/logam-mulia/emas/4h3i22p-jual-emas-antam-1-gram-certicard?from=list-product&pos=9
Emas antam 1 gram bersertifikat asli - logam mulia antam 1 gram,1.125.000,EROSHOP,Depok,Terjual 28,4.9,https://www.bukalapak.com/p/fashion-wanita/perhiasan-aksesoris/1561e4f-jual-emas-antam-1-gram-bersertifikat-asli-logam-mulia-antam-1-gram?from=list-product&pos=10
"emas Antam 1 gram 2022 Certieye, emas logam mulia, emas asli, emas batangan, emas 24K, emas murni",1.150.000,toserba_blitar,Kab. Blitar,,,https://www.bukalapak.com/p/logam-mulia/emas/4hfiofs-jual-emas-antam-1-gram-2022-certieye-emas-logam-mulia-emas-asli-emas-batangan-emas-24k-emas-murni?from=list-product&pos=11
